Wall time,Step,Value
1585711375.8791344,30174,0.003404645249247551
1585711487.775272,30243,0.002674975898116827
1585711494.1534946,30284,0.002516726963222027
1585711501.2562897,30327,0.0023652410600334406
1585711623.0053551,30459,0.0034191838931292295
1585711624.6969616,30470,0.0030790562741458416
1585711750.5470467,30612,0.0034006177447736263
1585711866.1435983,30706,0.0024222007486969233
1585711868.309685,30720,0.0025899019092321396
1585711871.3459775,30738,0.002533271675929427
1585712133.0854123,31105,0.0031565106473863125
1585712386.2258098,31406,0.003642876399680972
1585712493.4622366,31443,0.0077723185531795025
1585712635.8115604,31696,0.0036797672510147095
1585712756.7750452,31808,0.0036591566167771816
1585712766.8850007,31873,0.0020824233070015907
1585712868.9841666,31880,0.0038714762777090073
1585712870.574688,31888,0.002950864378362894
1585712879.0305026,31936,0.0018190292175859213
1585712880.3985167,31945,0.003147554351016879
1585712890.9371417,32004,0.002457646420225501
1585712892.9906967,32017,0.0021787327714264393
1585713021.6508813,32174,0.0025115199387073517
1585713126.7110653,32207,0.0026383441872894764
1585713266.379499,32435,0.001960200257599354
1585713385.4099557,32542,0.0034677251242101192
1585713505.9020793,32657,0.0027857194654643536
1585713514.318958,32706,0.0020238750148564577
1585713523.0472631,32762,0.0023971949703991413
1585713646.5303836,32894,0.0024057950358837843
1585713648.0303428,32902,0.0029641089495271444
1585713764.7932363,33002,0.002559054410085082
1585713767.4845686,33014,0.0036942462902516127
1585713770.602845,33034,0.0027403614949434996
1585713890.3655422,33152,0.0028701438568532467
1585713894.8313866,33179,0.003359702182933688
1585713895.1641312,33181,0.003957850392907858
1585714010.098066,33271,0.0029943380504846573
1585714020.9841206,33341,0.001886923098936677
1585714027.138587,33375,0.002298671053722501
1585714032.5269732,33403,0.002902747131884098
1585714156.6979814,33539,0.0021448126062750816
1585714272.0326583,33631,0.0028571689035743475
1585714389.059375,33728,0.002678966848179698
1585714390.52615,33737,0.0029024581890553236
1585714393.2780273,33749,0.0023501368705183268
1585714396.348944,33768,0.0024756798520684242
1585714398.9445171,33785,0.0015650073764845729
1585714408.2417116,33839,0.0027377083897590637
1585714410.1127594,33851,0.0018466140609234571
1585714413.9861696,33876,0.0023480558302253485
1585714520.9411588,33913,0.002648724941536784
1585714539.2765696,34017,0.0017884422559291124
1585714643.0520096,34036,0.003482233267277479
1585714662.2891412,34141,0.002474447712302208
1585714901.23354,34362,0.0017169448547065258
1585714904.5006783,34383,0.001783725107088685
1585714915.0652115,34438,0.001538766548037529
1585715029.2198942,34525,0.0023223073221743107
1585715029.3697088,34526,0.0025412775576114655
1585715036.0958211,34564,0.0024637095630168915
1585715042.0694978,34599,0.0014653010293841362
1585715172.9944725,34783,0.0025271312333643436
